"order_id";"order_date";"customer_id";"order_status";"payment_method"
132;"2023-12-26";7814;"Shipped";"Cash"
133;"2024-08-18";1415;"Shipped";"Cash"
134;"2023-08-04";6709;"Shipped";"Debit Card"
135;"2024-04-06";8722;"Shipped";"PayPal"
136;"2024-09-23";6636;"Shipped";"Cash"
137;"2023-08-07";3622;"Shipped";"Credit Card"
138;"2025-01-03";5316;"Processing";"Debit Card"
139;"2024-02-07";755;"Shipped";"Credit Card"
140;"2024-03-12";2348;"Shipped";"Credit Card"
141;"2024-05-07";727;"Processing";"Cash"
142;"2024-10-08";4924;"Shipped";"Credit Card"
143;"2023-12-01";2650;"Shipped";"Cash"
144;"2024-06-03";2816;"Shipped";"Debit Card"
145;"2024-07-02";9067;"Shipped";"Credit Card"
146;"2023-11-08";3280;"Processing";"Debit Card"
147;"2023-10-13";2985;"Shipped";"Cash"
148;"2025-03-03";3808;"Processing";"Credit Card"
149;"2024-01-08";7877;"Shipped";"Credit Card"
150;"2024-02-26";6100;"Shipped";"Credit Card"
151;"2024-06-29";608;"Shipped";"Cash"
152;"2023-06-22";6170;"Shipped";"Credit Card"
153;"2024-03-26";7791;"Shipped";"Debit Card"
154;"2024-01-29";5574;"Processing";"PayPal"
155;"2024-03-25";635;"Shipped";"Credit Card"
156;"2024-06-11";1075;"Shipped";"Debit Card"
157;"2023-07-01";1915;"Cancelled";"Debit Card"
158;"2023-07-01";589;"Shipped";"Credit Card"
159;"2024-02-26";3232;"Shipped";"Credit Card"
160;"2024-11-09";6352;"Shipped";"Credit Card"
161;"2023-08-23";3839;"Shipped";"Credit Card"
162;"2024-08-01";1974;"Shipped";"Credit Card"
163;"2024-04-25";5045;"Processing";"Cash"
164;"2024-07-04";6104;"Shipped";"Cash"
165;"2025-04-27";6684;"Processing";"PayPal"
166;"2025-04-10";5838;"Returned";"Debit Card"
167;"2024-09-25";9444;"Shipped";"Debit Card"
168;"2024-02-28";6784;"Shipped";"Debit Card"
169;"2024-06-29";5595;"Shipped";"PayPal"
170;"2025-04-08";3823;"Returned";"Cash"
171;"2023-08-27";3390;"Shipped";"PayPal"
172;"2024-12-14";5915;"Shipped";"Credit Card"
173;"2025-01-20";1781;"Processing";"Cash"
174;"2024-12-28";3689;"Cancelled";"Credit Card"
175;"2024-02-12";9917;"Cancelled";"PayPal"
176;"2024-11-01";7212;"Shipped";"Debit Card"
177;"2023-11-03";5038;"Shipped";"Credit Card"
178;"2024-03-29";6320;"Shipped";"PayPal"
179;"2023-09-04";9870;"Shipped";"Cash"
180;"2023-09-03";8641;"Shipped";"Credit Card"
181;"2023-10-28";82;"Processing";"Cash"
182;"2025-03-02";6279;"Shipped";"PayPal"
183;"2025-02-05";7000;"Shipped";"Credit Card"
184;"2024-05-05";1407;"Shipped";"PayPal"
185;"2024-04-16";7411;"Shipped";"Credit Card"
186;"2025-02-27";1481;"Shipped";"Credit Card"
187;"2024-07-18";9272;"Processing";"PayPal"
188;"2025-01-24";3599;"Shipped";"Cash"
189;"2023-12-28";7994;"Shipped";"Debit Card"
190;"2024-12-11";4184;"Shipped";"Credit Card"
191;"2025-02-27";3681;"Shipped";"Cash"
192;"2023-07-27";7645;"Processing";"Cash"
193;"2023-10-23";4311;"Shipped";"Cash"
194;"2023-11-22";1759;"Returned";"Cash"
195;"2025-04-30";2600;"Shipped";"Credit Card"
196;"2023-08-29";5617;"Shipped";"Debit Card"
197;"2025-03-21";5814;"Shipped";"Debit Card"
198;"2024-10-23";3854;"Shipped";"Cash"
199;"2025-01-11";2293;"Shipped";"Credit Card"
200;"2023-10-26";1502;"Shipped";"Debit Card"
201;"2023-12-14";8423;"Shipped";"Cash"
202;"2024-04-01";7551;"Shipped";"Cash"
203;"2024-05-26";4251;"Shipped";"PayPal"
204;"2023-10-16";9391;"Processing";"PayPal"
205;"2023-12-09";6992;"Shipped";"PayPal"
206;"2023-11-13";115;"Shipped";"Credit Card"
207;"2023-12-02";9606;"Shipped";"Cash"
208;"2024-12-08";4407;"Shipped";"Debit Card"
209;"2023-10-16";9185;"Shipped";"Debit Card"
210;"2024-10-30";2348;"Shipped";"PayPal"
211;"2025-02-01";1042;"Processing";"Cash"
212;"2025-03-23";6928;"Processing";"Credit Card"
213;"2025-04-23";12;"Shipped";"Credit Card"
214;"2024-07-08";7981;"Shipped";"Credit Card"
215;"2024-07-15";7872;"Shipped";"Debit Card"
216;"2024-01-18";6376;"Shipped";"PayPal"
217;"2024-02-11";7099;"Shipped";"Credit Card"
218;"2023-11-08";3677;"Shipped";"PayPal"
219;"2024-06-03";6110;"Returned";"Debit Card"
220;"2025-05-31";5398;"Processing";"Cash"
221;"2025-02-15";3066;"Processing";"Credit Card"
222;"2023-10-02";2037;"Cancelled";"PayPal"
223;"2025-03-16";3047;"Cancelled";"Debit Card"
224;"2024-08-20";541;"Shipped";"Debit Card"
225;"2025-03-22";77;"Processing";"PayPal"
226;"2024-06-25";3068;"Shipped";"PayPal"
227;"2023-07-27";24;"Shipped";"PayPal"
228;"2025-01-04";5135;"Shipped";"Debit Card"
229;"2025-06-04";676;"Shipped";"Cash"
230;"2025-04-04";6669;"Shipped";"Credit Card"
231;"2024-12-14";4268;"Shipped";"PayPal"
232;"2023-11-18";5989;"Shipped";"Debit Card"
233;"2024-12-14";7653;"Shipped";"Credit Card"
234;"2025-02-27";8681;"Shipped";"Debit Card"
235;"2023-11-04";1486;"Shipped";"Debit Card"
236;"2024-08-22";3660;"Shipped";"PayPal"
237;"2024-03-29";2420;"Shipped";"PayPal"
238;"2024-08-07";7741;"Processing";"PayPal"
239;"2025-04-20";7144;"Returned";"PayPal"
240;"2024-12-10";3496;"Shipped";"PayPal"
241;"2024-07-10";757;"Shipped";"Credit Card"
242;"2024-11-15";8449;"Cancelled";"Cash"
243;"2023-11-18";1780;"Processing";"Credit Card"
244;"2024-01-05";6488;"Shipped";"Credit Card"
245;"2025-05-03";9665;"Shipped";"Debit Card"
246;"2023-12-05";259;"Shipped";"Credit Card"
247;"2024-11-09";4076;"Shipped";"PayPal"
248;"2025-03-07";8499;"Shipped";"Credit Card"
249;"2024-06-15";8015;"Shipped";"Cash"
250;"2024-04-07";1119;"Shipped";"PayPal"
251;"2024-06-06";7632;"Shipped";"Debit Card"
252;"2023-07-19";3018;"Processing";"Credit Card"
253;"2023-12-12";4342;"Cancelled";"Debit Card"
254;"2024-06-11";1659;"Cancelled";"Cash"
255;"2023-12-18";8379;"Shipped";"Debit Card"
256;"2024-05-24";1798;"Shipped";"Cash"
257;"2024-07-14";9117;"Processing";"Credit Card"
258;"2024-01-13";785;"Shipped";"Credit Card"
259;"2024-10-15";5692;"Shipped";"PayPal"
260;"2024-12-24";3197;"Shipped";"Credit Card"
261;"2024-12-20";9553;"Processing";"PayPal"
262;"2025-01-17";8533;"Shipped";"PayPal"
263;"2024-04-06";563;"Cancelled";"Credit Card"
264;"2024-01-26";4747;"Shipped";"Cash"
265;"2024-07-13";3000;"Shipped";"Cash"
266;"2024-12-26";1194;"Returned";"Cash"
267;"2024-11-17";69;"Returned";"Credit Card"
268;"2024-11-04";5680;"Shipped";"PayPal"
269;"2025-01-28";2429;"Cancelled";"Cash"
270;"2023-12-01";6201;"Shipped";"Debit Card"
271;"2023-12-20";5397;"Shipped";"Debit Card"
272;"2023-11-24";6994;"Shipped";"Credit Card"
273;"2025-04-07";3599;"Shipped";"Cash"
274;"2025-03-12";9036;"Shipped";"Cash"
275;"2025-06-06";574;"Shipped";"Cash"
276;"2024-09-02";4215;"Shipped";"Credit Card"
277;"2024-02-18";7637;"Cancelled";"PayPal"
278;"2024-09-02";1479;"Shipped";"Cash"
279;"2024-05-18";9706;"Cancelled";"Debit Card"
280;"2024-12-23";6128;"Processing";"Credit Card"
281;"2025-04-30";9161;"Shipped";"Cash"
282;"2025-04-01";6677;"Cancelled";"PayPal"
283;"2023-09-20";2197;"Shipped";"PayPal"
284;"2024-03-28";9704;"Cancelled";"Credit Card"
285;"2025-05-22";8167;"Shipped";"Credit Card"
286;"2025-01-29";8847;"Shipped";"Cash"
287;"2023-12-18";6051;"Shipped";"Cash"
288;"2024-04-20";4651;"Processing";"Credit Card"
289;"2024-04-09";8485;"Returned";"Cash"
290;"2025-05-21";4527;"Shipped";"Credit Card"
291;"2023-07-18";4413;"Shipped";"Debit Card"
292;"2025-04-09";5444;"Shipped";"Credit Card"
293;"2025-02-24";9781;"Shipped";"PayPal"
294;"2024-08-14";8788;"Shipped";"Credit Card"
295;"2024-07-25";2594;"Processing";"PayPal"
296;"2024-06-05";9108;"Shipped";"Cash"
297;"2025-04-03";6853;"Cancelled";"Cash"
298;"2024-11-05";6630;"Shipped";"Debit Card"
299;"2024-03-08";3870;"Cancelled";"Cash"
300;"2025-01-08";7972;"Shipped";"PayPal"
301;"2025-05-14";9168;"Shipped";"Credit Card"
302;"2024-08-03";9268;"Shipped";"Credit Card"
303;"2024-10-03";7823;"Shipped";"Debit Card"
304;"2024-05-14";2990;"Processing";"Debit Card"
305;"2024-09-26";7063;"Processing";"Cash"
306;"2024-09-12";5341;"Shipped";"Credit Card"
307;"2024-09-09";9644;"Shipped";"PayPal"
308;"2024-06-22";3824;"Shipped";"Debit Card"
309;"2024-07-07";3933;"Shipped";"Cash"
310;"2023-08-02";8555;"Processing";"PayPal"
311;"2024-08-13";2430;"Shipped";"Credit Card"
312;"2025-03-16";7445;"Cancelled";"Debit Card"
313;"2024-05-11";7148;"Shipped";"PayPal"
314;"2024-09-15";7632;"Shipped";"Credit Card"
315;"2024-05-05";3599;"Shipped";"Debit Card"
316;"2025-01-07";4330;"Shipped";"PayPal"
317;"2025-06-02";6719;"Shipped";"PayPal"
318;"2025-04-09";9924;"Shipped";"Cash"
319;"2024-03-18";8219;"Shipped";"Credit Card"
320;"2024-12-02";93;"Processing";"Cash"
321;"2025-04-03";8501;"Shipped";"Cash"
322;"2024-04-07";52;"Shipped";"Debit Card"
323;"2023-06-29";319;"Cancelled";"Cash"
324;"2024-08-16";5689;"Cancelled";"Cash"
325;"2025-05-04";7019;"Shipped";"PayPal"
326;"2025-05-04";7211;"Shipped";"Credit Card"
327;"2025-03-16";3957;"Shipped";"Cash"
328;"2025-02-11";6058;"Shipped";"PayPal"
329;"2025-06-01";6876;"Shipped";"PayPal"
330;"2024-12-24";4432;"Shipped";"PayPal"
331;"2025-06-04";1526;"Shipped";"Cash"
332;"2024-03-22";7044;"Shipped";"Credit Card"
333;"2024-04-19";1279;"Processing";"Debit Card"
334;"2025-03-27";8706;"Processing";"Debit Card"
335;"2025-01-23";6126;"Shipped";"PayPal"
336;"2023-08-02";7875;"Shipped";"Credit Card"
337;"2024-11-22";9926;"Shipped";"Credit Card"
338;"2024-08-26";6901;"Shipped";"PayPal"
339;"2025-06-03";2501;"Cancelled";"Cash"
340;"2025-02-08";3465;"Processing";"Debit Card"
341;"2025-05-06";2260;"Shipped";"Cash"
342;"2024-02-07";7497;"Shipped";"Cash"
343;"2025-04-18";2660;"Shipped";"PayPal"
344;"2024-05-23";256;"Cancelled";"Credit Card"
345;"2023-12-19";1503;"Processing";"Cash"
346;"2024-08-22";4657;"Shipped";"Credit Card"
347;"2024-03-07";5431;"Shipped";"PayPal"
348;"2025-01-20";8599;"Shipped";"Credit Card"
349;"2024-11-12";3177;"Shipped";"PayPal"
350;"2025-03-04";1861;"Shipped";"Debit Card"
351;"2025-01-16";6159;"Shipped";"Debit Card"
352;"2024-07-29";5807;"Shipped";"Credit Card"
353;"2024-10-15";4355;"Shipped";"Debit Card"
354;"2024-07-19";723;"Processing";"PayPal"
355;"2023-07-10";7580;"Shipped";"Credit Card"
356;"2023-11-21";9475;"Processing";"PayPal"
357;"2024-06-19";614;"Shipped";"Credit Card"
358;"2024-07-22";3332;"Returned";"Debit Card"
359;"2025-06-01";5791;"Shipped";"Cash"
360;"2024-12-04";3117;"Shipped";"PayPal"
361;"2024-03-26";9005;"Shipped";"Cash"
362;"2024-08-26";9979;"Shipped";"PayPal"
363;"2023-07-05";331;"Shipped";"PayPal"
364;"2024-02-27";2213;"Shipped";"Debit Card"
365;"2024-05-19";9409;"Shipped";"Cash"
366;"2024-05-05";5494;"Processing";"Credit Card"
367;"2024-01-23";7233;"Processing";"Debit Card"
368;"2023-12-06";5615;"Shipped";"Credit Card"
369;"2023-12-28";5914;"Processing";"Credit Card"
370;"2024-02-02";5914;"Shipped";"Credit Card"
371;"2023-09-14";5612;"Shipped";"Credit Card"
372;"2024-01-09";9433;"Shipped";"Credit Card"
373;"2024-12-23";320;"Shipped";"Debit Card"
374;"2023-12-04";8086;"Shipped";"Debit Card"
375;"2024-06-01";4201;"Returned";"Cash"
376;"2024-04-20";4792;"Shipped";"PayPal"
377;"2025-01-03";330;"Shipped";"PayPal"
378;"2024-11-24";8852;"Shipped";"Cash"
379;"2024-08-23";6743;"Shipped";"Credit Card"
380;"2024-04-30";4917;"Shipped";"Credit Card"
381;"2025-01-19";1794;"Shipped";"Cash"
382;"2023-09-27";6458;"Shipped";"Debit Card"
383;"2023-10-01";8126;"Returned";"Debit Card"
384;"2023-11-08";5704;"Shipped";"PayPal"
385;"2024-06-08";6171;"Shipped";"Cash"
386;"2023-10-18";6645;"Processing";"Credit Card"
387;"2024-11-02";7421;"Shipped";"PayPal"
388;"2024-09-01";4156;"Cancelled";"Cash"
389;"2024-08-02";8412;"Processing";"Credit Card"
390;"2025-04-22";2612;"Shipped";"Cash"
391;"2025-04-09";5692;"Shipped";"Debit Card"
392;"2023-08-14";2594;"Shipped";"Cash"
393;"2023-09-14";96;"Shipped";"Cash"
394;"2025-05-15";9181;"Shipped";"Debit Card"
395;"2023-09-27";9305;"Shipped";"Cash"
396;"2024-07-07";6042;"Returned";"Cash"
397;"2023-08-19";5064;"Shipped";"PayPal"
398;"2024-02-03";8438;"Shipped";"PayPal"
399;"2024-11-14";3350;"Shipped";"Cash"
400;"2025-04-04";7645;"Shipped";"PayPal"
401;"2024-05-16";6561;"Shipped";"Credit Card"
402;"2024-03-15";5248;"Shipped";"Cash"
403;"2023-11-17";5357;"Processing";"PayPal"
404;"2025-01-22";4078;"Shipped";"Cash"
405;"2024-01-23";4899;"Shipped";"Cash"
406;"2023-08-02";1418;"Shipped";"Credit Card"
407;"2023-08-30";8847;"Shipped";"PayPal"
408;"2023-09-18";111;"Shipped";"PayPal"
409;"2024-10-25";8282;"Shipped";"Cash"
410;"2024-02-15";8955;"Returned";"Credit Card"
411;"2024-06-13";7392;"Shipped";"Credit Card"
412;"2024-08-06";5133;"Processing";"Credit Card"
413;"2024-09-26";2505;"Processing";"Cash"
414;"2024-08-26";9657;"Shipped";"Credit Card"
415;"2024-01-04";8290;"Processing";"PayPal"
416;"2024-04-19";5240;"Processing";"Credit Card"
417;"2025-03-06";293;"Cancelled";"Debit Card"
418;"2024-01-17";1735;"Shipped";"Credit Card"
419;"2025-04-14";5121;"Processing";"PayPal"
420;"2024-08-07";6394;"Returned";"Debit Card"
421;"2024-10-19";2197;"Shipped";"PayPal"
422;"2024-11-03";3467;"Shipped";"Debit Card"
423;"2024-03-23";1907;"Shipped";"PayPal"
424;"2024-06-10";1722;"Shipped";"PayPal"
425;"2024-11-22";1817;"Shipped";"Credit Card"
426;"2025-01-05";8445;"Shipped";"Credit Card"
427;"2025-06-17";4228;"Shipped";"PayPal"
428;"2025-06-06";5776;"Shipped";"Debit Card"
429;"2025-06-06";3850;"Shipped";"PayPal"
430;"2025-04-18";5229;"Cancelled";"Credit Card"
431;"2023-11-17";6850;"Shipped";"Debit Card"
432;"2025-03-26";1059;"Shipped";"Credit Card"
433;"2024-11-26";2323;"Shipped";"Cash"
434;"2025-04-04";8379;"Cancelled";"Debit Card"
435;"2024-07-29";949;"Shipped";"Debit Card"
436;"2023-09-11";8180;"Shipped";"PayPal"
437;"2023-11-08";4360;"Processing";"Credit Card"
438;"2024-03-12";5661;"Shipped";"Debit Card"
439;"2024-02-21";7255;"Shipped";"Credit Card"
440;"2024-08-24";8402;"Shipped";"PayPal"
441;"2024-02-20";2094;"Cancelled";"PayPal"
442;"2024-01-29";1564;"Shipped";"Debit Card"
443;"2024-01-28";8218;"Shipped";"Debit Card"
444;"2024-08-24";175;"Shipped";"PayPal"
445;"2023-10-08";1335;"Shipped";"Debit Card"
446;"2025-06-10";322;"Cancelled";"Cash"
447;"2024-08-18";5699;"Processing";"Cash"
448;"2024-03-30";5605;"Cancelled";"Cash"
449;"2024-11-28";6743;"Shipped";"Cash"
450;"2024-08-22";7437;"Shipped";"PayPal"
451;"2024-10-30";8525;"Processing";"Cash"
452;"2024-01-11";5675;"Shipped";"Debit Card"
453;"2024-09-01";5003;"Shipped";"PayPal"
454;"2023-11-16";911;"Shipped";"PayPal"
455;"2024-09-08";950;"Shipped";"Credit Card"
456;"2024-11-11";5426;"Shipped";"Credit Card"
457;"2023-09-24";2515;"Returned";"PayPal"
458;"2025-02-24";7702;"Shipped";"Cash"
459;"2023-11-28";101;"Shipped";"Cash"
460;"2025-04-16";4647;"Shipped";"PayPal"
461;"2024-05-30";6946;"Processing";"Debit Card"
462;"2025-04-13";2401;"Processing";"Cash"
463;"2025-03-10";5802;"Shipped";"Cash"
464;"2023-12-29";2344;"Shipped";"Cash"
465;"2024-12-02";353;"Shipped";"Cash"
466;"2024-11-06";2956;"Shipped";"Cash"
467;"2024-02-08";1019;"Shipped";"Credit Card"
468;"2024-11-10";1180;"Shipped";"PayPal"
469;"2023-07-19";5194;"Shipped";"Credit Card"
470;"2024-11-24";3537;"Shipped";"Cash"
471;"2024-03-16";2503;"Shipped";"Cash"
472;"2024-02-03";3820;"Processing";"Debit Card"
473;"2025-02-12";6856;"Shipped";"Debit Card"
474;"2023-07-22";980;"Shipped";"PayPal"
475;"2024-03-01";977;"Shipped";"Credit Card"
476;"2024-03-03";9564;"Shipped";"Debit Card"
477;"2025-01-08";2281;"Shipped";"PayPal"
478;"2024-08-21";5898;"Shipped";"Credit Card"
479;"2024-11-21";108;"Shipped";"Credit Card"
480;"2024-02-06";9165;"Shipped";"Cash"
481;"2024-04-02";1627;"Shipped";"Debit Card"
482;"2024-03-02";8896;"Shipped";"Cash"
483;"2023-11-07";6230;"Shipped";"Cash"
484;"2023-10-25";6878;"Shipped";"Credit Card"
485;"2024-07-13";875;"Shipped";"PayPal"
486;"2025-04-20";5544;"Cancelled";"Credit Card"
487;"2025-05-01";3810;"Returned";"Credit Card"
488;"2025-02-20";2108;"Shipped";"PayPal"
489;"2024-12-02";9466;"Processing";"Credit Card"
490;"2023-08-31";560;"Shipped";"PayPal"
491;"2023-11-22";8309;"Shipped";"Cash"
492;"2024-03-14";4970;"Processing";"PayPal"
493;"2023-11-06";3047;"Shipped";"Debit Card"
494;"2023-07-22";44;"Shipped";"Cash"
495;"2024-07-22";509;"Processing";"Debit Card"
496;"2024-04-21";6108;"Cancelled";"Credit Card"
497;"2025-04-28";3440;"Returned";"Debit Card"
498;"2024-03-17";3929;"Shipped";"Credit Card"
499;"2025-03-06";5412;"Processing";"Debit Card"
500;"2024-01-09";917;"Shipped";"Debit Card"
501;"2024-09-28";799;"Cancelled";"Debit Card"
502;"2024-08-17";4972;"Shipped";"Debit Card"
503;"2023-10-28";1761;"Shipped";"Debit Card"
504;"2024-03-26";3276;"Shipped";"Debit Card"
505;"2024-03-06";819;"Shipped";"Debit Card"
506;"2023-12-30";5041;"Shipped";"Debit Card"
507;"2024-02-15";3066;"Shipped";"Cash"
508;"2025-06-15";3260;"Shipped";"Cash"
509;"2023-08-17";907;"Cancelled";"Credit Card"
510;"2023-10-05";603;"Shipped";"Cash"
511;"2024-11-17";4296;"Shipped";"PayPal"
512;"2023-10-25";9984;"Shipped";"Debit Card"
513;"2024-11-17";3528;"Cancelled";"Cash"
514;"2023-08-06";4544;"Processing";"PayPal"
515;"2024-02-27";1812;"Shipped";"PayPal"
516;"2024-03-19";9033;"Processing";"Credit Card"
517;"2023-10-23";7964;"Shipped";"Credit Card"
518;"2025-05-26";5250;"Shipped";"Credit Card"
519;"2024-12-21";4616;"Shipped";"Debit Card"
520;"2023-08-14";9229;"Shipped";"Cash"
521;"2025-01-09";8917;"Shipped";"Credit Card"
522;"2025-01-04";6767;"Shipped";"Cash"
523;"2025-01-13";9180;"Shipped";"Debit Card"
524;"2024-10-04";803;"Shipped";"PayPal"
525;"2023-07-01";2583;"Shipped";"Cash"
526;"2023-11-23";6446;"Processing";"Debit Card"
527;"2024-05-18";3838;"Cancelled";"PayPal"
528;"2023-12-20";8719;"Returned";"PayPal"
529;"2023-10-27";1666;"Shipped";"Credit Card"
530;"2024-04-16";9331;"Shipped";"Debit Card"
531;"2024-05-08";8652;"Processing";"Credit Card"
532;"2024-09-26";6976;"Processing";"Cash"
533;"2024-03-22";2553;"Processing";"Debit Card"
534;"2025-01-04";7476;"Shipped";"Credit Card"
535;"2024-12-11";2809;"Shipped";"PayPal"
536;"2024-05-11";5634;"Shipped";"Cash"
