Employee_ID,Join_Date,Department,City,Level,Age,Salary,Experience_Years,Projects_Completed,Performance_Rating,Satisfaction_Score,Training_Hours,Monthly_Overtime,Left_Company
1038,2024-01-24,Engineering,Ahmedabad,Mid,49,83540.73,14,14,B,6.9,5.4,19.9,False
1039,2021-07-21,Finance,Pune,Manager,23,53612.22,2,17,D,9.1,19.9,7.0,False
1040,2024-09-01,HR,Chennai,Senior,27,59478.87,18,18,C,4.6,7.1,4.4,False
1041,2019-08-24,HR,Pune,Senior,30,,17,29,B,3.9,53.0,7.5,False
1042,2024-06-21,Operations,Bangalore,Manager,54,95421.79,7,20,D,1.1,9.4,11.3,True
1043,2023-08-24,HR,Kolkata,Mid,46,102497.62,16,27,D,8.4,2.4,12.5,False
1044,2018-08-30,Support,Hyderabad,Director,34,53547.36,7,18,C,8.2,32.2,7.5,False
1045,2023-08-04,Sales,Chennai,Junior,30,85828.01,6,4,A,1.9,36.2,20.0,False
1046,2021-09-25,Finance,Bangalore,Mid,34,104676.1,6,1,B,6.2,82.2,5.2,False
1047,2023-11-10,HR,Bangalore,Junior,52,50322.96,2,1,D,5.2,34.4,6.1,True
1048,2021-10-22,Operations,Mumbai,Mid,32,112168.68,0,26,E,2.1,17.0,6.4,False
1049,2022-01-18,Support,Pune,Junior,25,115973.52,3,20,B,9.8,65.0,10.3,False
1050,2020-02-15,Sales,Delhi,Lead,55,140627.16,24,23,A,2.9,31.1,15.2,True
1051,2018-02-04,Marketing,Ahmedabad,Lead,25,80773.34,4,10,D,1.6,3.3,2.6,True
1052,2024-03-03,Marketing,Delhi,Director,40,80910.62,0,11,B,6.4,33.4,3.0,False
1053,2023-05-10,Sales,Chennai,Junior,27,,14,5,,7.6,95.4,10.4,False
1054,2022-05-05,Support,Kolkata,Senior,55,94945.07,4,1,E,1.3,20.2,3.1,True
1055,2020-10-18,Operations,Delhi,Mid,39,103159.17,12,17,A,6.9,14.1,6.7,False
1056,2021-02-03,Sales,Hyderabad,Mid,34,94600.83,7,22,C,5.8,6.2,6.3,False
1057,2022-02-09,Finance,Delhi,Mid,44,72348.45,7,34,A,1.9,6.6,18.5,False
1058,2019-12-04,Finance,,Mid,40,105549.93,4,29,B,2.6,22.7,24.5,False
1059,2024-09-15,Marketing,Ahmedabad,Senior,32,48218.65,8,4,D,6.1,36.2,5.6,False
1060,2022-04-29,HR,Delhi,Senior,22,75146.31,0,5,B,3.7,3.4,12.3,False
1061,2018-06-11,Operations,Hyderabad,Mid,45,114093.39,3,11,E,9.4,112.2,6.4,False
1062,2018-07-21,Marketing,Mumbai,Junior,28,43743.84,2,21,C,8.4,56.3,14.6,False
1063,2023-06-05,HR,Kolkata,Junior,46,58063.11,1,35,B,9.9,35.3,3.0,False
1064,2020-09-22,HR,Chennai,Junior,42,91793.68,7,12,B,3.3,70.5,18.1,False
1065,2024-05-06,R&D,Mumbai,Director,36,84847.8,22,26,B,9.7,3.3,5.0,False
1066,2020-03-26,Finance,Mumbai,Junior,22,53124.36,8,19,B,4.9,25.9,2.2,False
1067,2019-04-01,Support,Mumbai,Junior,33,64595.15,1,7,A,4.1,39.8,5.3,True
1068,2021-06-29,Engineering,Bangalore,Mid,28,45480.45,13,7,B,1.5,70.6,6.7,False
1069,2020-10-13,Support,Kolkata,Lead,36,99512.12,13,26,C,1.5,,3.2,False
1070,2024-06-01,Engineering,Ahmedabad,Director,42,68602.97,3,5,C,7.2,13.0,8.0,False
1071,2018-12-04,Sales,Pune,Lead,40,119803.9,5,21,C,,113.1,13.4,False
1072,2020-05-28,Finance,Kolkata,Senior,50,,10,14,C,3.0,5.3,4.1,False
1073,2020-12-12,HR,Bangalore,Mid,46,69506.49,2,4,A,6.5,83.2,22.8,False
1074,2020-03-02,Operations,Pune,Junior,54,67079.46,7,23,B,3.3,141.5,35.6,False
1075,2024-03-14,Engineering,Kolkata,Director,53,68895.0,2,20,C,6.2,7.8,6.8,False
1076,2020-02-03,Support,Mumbai,Lead,56,,13,15,C,4.2,51.2,12.8,True
1077,2024-02-14,HR,Chennai,Senior,47,137810.19,12,29,A,,1.6,11.0,True
1078,2019-01-15,Engineering,Pune,Lead,32,66528.51,12,8,D,8.4,20.8,7.5,False
1079,2019-05-08,Engineering,Hyderabad,Senior,56,67341.16,1,19,D,5.3,,6.9,False
1080,2021-03-26,R&D,Hyderabad,Senior,29,76639.85,12,39,C,4.2,34.8,1.5,False
1081,2023-08-25,Engineering,Delhi,Director,35,102256.86,18,28,A,4.3,109.9,7.4,True
1082,2018-03-06,Operations,Pune,Manager,31,39475.39,5,27,D,8.3,44.6,14.5,False
1083,2021-09-29,Finance,Chennai,Senior,23,86377.32,15,4,C,4.0,26.3,5.1,True
1084,2021-02-26,Operations,Ahmedabad,Senior,30,54564.37,1,15,D,2.9,66.4,22.4,True
1085,2023-07-21,Marketing,Bangalore,Junior,24,88831.82,7,35,D,1.8,120.3,11.2,True
1086,2022-02-04,HR,Mumbai,Senior,42,62656.0,16,37,D,5.2,0.9,18.2,False
1087,2021-03-08,Finance,Delhi,Junior,47,17397.44,22,1,C,5.3,161.9,7.0,False
1088,2022-03-03,R&D,Hyderabad,Senior,29,84239.44,1,3,A,8.6,3.6,9.4,False
1089,2019-01-27,Finance,Bangalore,Director,23,84028.62,9,24,,3.0,67.4,12.6,False
1090,2022-08-26,Finance,Bangalore,Senior,27,60522.99,15,27,C,4.4,13.2,6.4,True
1091,2019-02-23,Support,Mumbai,Mid,49,59041.4,5,36,C,8.3,5.7,17.6,False
1092,2024-05-25,Finance,Ahmedabad,Mid,50,42215.68,1,34,B,8.4,23.2,5.2,False
1093,2019-01-14,R&D,Ahmedabad,Junior,47,94327.5,1,29,B,4.5,41.3,28.2,False
1094,2022-12-02,Operations,Pune,Senior,46,97055.39,12,24,D,5.1,19.2,2.9,True
1095,2024-03-28,Finance,Hyderabad,Junior,33,53023.73,23,24,C,,2.2,11.9,False
1096,2023-09-20,Sales,Ahmedabad,Junior,26,61501.64,14,4,E,9.4,36.6,4.8,False
1097,2023-12-23,HR,Chennai,Mid,55,73417.77,1,3,D,2.1,,3.7,False
1098,2018-07-20,Finance,Ahmedabad,Lead,36,131771.63,6,34,C,9.4,19.3,3.8,False
1099,2023-02-07,HR,Bangalore,Senior,57,88628.04,2,23,C,7.2,9.8,0.3,True
1100,2020-02-19,Sales,Mumbai,Junior,36,51414.61,7,23,,5.8,,3.4,False
1101,2019-05-18,Sales,Chennai,Mid,44,82594.51,22,5,C,1.3,2.0,15.1,True
1102,2024-09-20,HR,Pune,Mid,27,40582.71,13,31,C,5.3,68.7,14.2,False
1103,2022-10-18,Engineering,Hyderabad,Senior,42,92949.76,23,6,B,4.7,70.0,2.8,False
1104,2020-03-15,Marketing,Pune,Senior,44,116888.68,22,37,C,2.5,35.5,11.8,True
1105,2023-11-17,Support,Bangalore,Mid,37,116994.79,21,10,C,6.9,17.4,4.5,False
1106,2023-03-11,Engineering,Chennai,Senior,36,93372.34,6,7,B,9.7,64.3,1.2,False
1107,2022-04-20,Engineering,Chennai,Mid,46,60414.69,20,39,B,6.1,32.4,15.2,True
1108,2020-08-18,Operations,Chennai,Manager,57,42477.46,6,38,B,,69.9,16.7,False
1109,2022-01-25,Support,Bangalore,Mid,32,39994.87,0,21,B,1.6,39.9,5.3,False
1110,2020-10-25,Support,Bangalore,Mid,36,4844.57,16,20,B,4.8,61.4,18.3,False
1111,2019-05-18,Engineering,Pune,Mid,25,,8,3,B,2.0,36.5,7.8,False
1112,2019-02-02,Finance,Delhi,Senior,42,72429.11,20,22,E,6.5,21.4,9.0,False
1113,2020-05-20,Operations,Pune,Lead,34,97730.4,12,4,C,9.4,126.8,7.4,False
1114,2019-01-28,Operations,Hyderabad,Mid,43,110700.79,20,28,B,7.0,31.2,2.7,False
1115,2018-07-26,Sales,Mumbai,Senior,40,77497.64,18,12,A,1.7,37.2,6.8,False
1116,2020-11-04,R&D,Chennai,Senior,55,78649.04,20,38,,,10.0,2.8,True
1117,2023-02-25,Support,Delhi,Mid,35,63391.99,18,36,B,6.0,39.3,12.2,False
1118,2022-01-24,Engineering,Mumbai,Mid,25,66347.89,24,5,D,4.6,,13.1,False
1119,2020-05-13,Sales,Delhi,Manager,48,93211.75,24,13,C,8.5,8.2,1.1,True
1120,2019-07-18,HR,Ahmedabad,Mid,50,70640.62,21,23,D,8.3,2.5,12.7,False
1121,2020-10-17,Marketing,Ahmedabad,Mid,49,67024.81,16,30,B,6.5,37.1,7.8,False
1122,2018-04-06,R&D,Kolkata,Director,56,74542.08,22,37,C,4.4,,1.5,False
1123,2023-04-08,R&D,Ahmedabad,Junior,29,97158.25,22,25,B,3.3,29.6,9.6,True
1124,2022-10-24,R&D,Pune,Junior,37,57683.46,9,27,,2.0,10.3,6.2,True
1125,2024-03-28,Operations,Ahmedabad,Mid,57,73336.79,9,14,C,4.2,43.9,4.6,False
1126,2022-08-06,HR,,Manager,51,81131.95,3,36,B,4.7,3.3,2.9,False
1127,2019-06-25,R&D,Chennai,Junior,39,104005.55,7,39,B,7.1,23.3,10.8,True
1128,2020-11-25,HR,Pune,Junior,23,69017.58,21,16,B,6.9,7.1,8.8,False
1129,2021-03-29,Finance,Mumbai,Junior,34,57054.42,19,22,C,1.6,8.2,9.2,True
1130,2022-09-19,R&D,Kolkata,Junior,25,62890.98,19,21,B,,9.0,17.8,False
1131,2022-12-25,Marketing,Kolkata,Junior,47,101326.44,17,21,C,2.6,19.6,22.4,False
1132,2022-05-17,HR,Kolkata,Mid,46,,13,8,B,2.4,2.1,0.9,False
1133,2020-03-06,HR,Mumbai,Senior,51,42156.05,17,16,C,8.4,20.3,10.9,False
1134,2020-11-17,Marketing,Mumbai,Junior,32,47617.46,13,31,D,1.4,28.7,5.4,False
1135,2022-07-02,R&D,Mumbai,Mid,28,70780.08,19,10,D,4.8,26.4,12.1,False
1136,2021-09-25,Marketing,Mumbai,Junior,52,77773.9,20,32,D,2.5,19.3,4.3,False
1137,2023-06-05,HR,Kolkata,Mid,31,94674.24,23,34,B,,73.1,28.1,False
1138,2021-09-16,Marketing,Kolkata,Mid,34,52721.67,14,9,A,6.0,6.3,12.4,True
1139,2022-07-22,HR,Delhi,Senior,52,48422.27,21,17,C,3.1,28.2,7.1,False
1140,2022-03-10,HR,Pune,Junior,28,78452.18,3,11,B,5.5,,18.5,False
1141,2023-08-01,Finance,Chennai,Mid,57,68539.98,12,32,B,7.6,3.0,3.9,True
1142,2022-02-05,Engineering,Ahmedabad,Junior,41,98168.02,22,10,A,9.6,34.1,12.8,False
1143,2024-02-16,HR,Ahmedabad,Lead,25,87184.0,7,22,B,3.0,33.4,6.9,True
1144,2021-11-09,R&D,Bangalore,Senior,28,88884.48,17,17,A,9.0,84.2,7.7,False
1145,2021-11-01,Sales,Kolkata,Senior,22,72387.97,11,4,D,9.4,32.6,35.3,False
1146,2021-07-30,Operations,Bangalore,Junior,34,133889.51,22,25,B,9.2,128.5,11.0,True
1147,2020-08-30,Support,Pune,Manager,43,54056.3,13,21,C,6.7,2.0,4.3,False
1148,2022-11-04,Engineering,,Junior,42,90270.25,1,37,A,,4.1,7.5,False
1149,2021-07-06,Engineering,Bangalore,Junior,43,43257.75,17,38,C,4.6,1.8,4.5,False
1150,2019-12-11,Engineering,Kolkata,Mid,49,48163.31,23,1,B,7.8,8.2,5.0,False
1151,2022-01-19,Finance,Bangalore,Junior,30,59816.36,1,25,D,5.8,31.2,9.1,False
1152,2021-12-05,HR,Ahmedabad,Director,47,115733.08,10,36,D,7.1,41.5,4.7,False
1153,2019-10-11,Finance,Delhi,Lead,30,81597.36,8,17,B,4.9,1.9,18.5,False
1154,2018-11-14,HR,Ahmedabad,Junior,36,60238.05,11,24,E,7.6,116.7,7.0,False
1155,2021-06-11,R&D,Hyderabad,Senior,31,84360.91,16,2,E,8.4,73.8,7.9,False
1156,2019-11-15,Finance,Kolkata,Director,45,75878.7,14,15,D,2.3,14.1,5.3,False
1157,2019-10-26,Finance,Kolkata,Manager,29,62700.67,24,32,D,8.5,3.2,2.6,False
1158,2023-06-22,Operations,Chennai,Senior,45,40084.28,16,39,B,5.9,7.4,3.0,False
1159,2022-06-20,Sales,Mumbai,Manager,37,110963.56,17,6,C,8.6,5.4,9.8,False
1160,2022-02-04,Finance,Hyderabad,Director,47,80245.45,21,1,A,4.9,5.3,6.4,False
1161,2021-02-10,Operations,Pune,Senior,48,129343.46,5,23,A,4.4,29.2,10.3,False
1162,2023-01-28,Marketing,,Junior,25,98508.04,16,39,E,,11.3,16.8,False
1163,2022-03-01,Sales,Bangalore,Mid,45,88782.99,22,17,B,3.3,17.7,4.5,False
1164,2024-10-25,R&D,Hyderabad,Lead,40,64119.89,23,34,C,8.6,182.3,31.3,False
1165,2019-07-18,Finance,Chennai,Junior,57,47616.36,17,29,D,5.4,46.1,3.5,False
1166,2021-07-15,Support,Pune,Lead,31,69556.73,7,9,D,5.6,119.0,2.9,False
1167,2022-06-25,Engineering,Mumbai,Junior,46,46892.69,8,13,E,3.8,6.2,15.3,False
1168,2019-11-30,Marketing,Mumbai,Junior,39,91254.76,5,6,B,6.2,19.3,8.1,True
1169,2023-12-01,Marketing,Chennai,Mid,40,115816.31,4,6,A,3.9,32.4,4.3,False
1170,2018-01-02,R&D,Chennai,Junior,57,68477.19,11,20,B,1.4,3.2,2.6,False
1171,2019-10-04,Operations,Bangalore,Director,31,98612.27,24,3,A,3.4,,3.6,False
1172,2024-03-17,Marketing,,Lead,54,57769.27,10,17,A,1.1,44.4,8.6,True
1173,2022-05-09,Sales,Mumbai,Lead,26,67438.33,24,12,B,9.8,41.1,20.7,False
1174,2020-05-04,Finance,Pune,Senior,56,54625.9,0,1,D,9.7,21.2,1.6,False
1175,2022-10-26,Finance,Hyderabad,Junior,55,21671.67,10,17,C,4.6,26.9,9.2,True
1176,2024-08-29,Support,Pune,Mid,54,74086.67,18,3,B,7.6,21.5,13.8,False
1177,2022-07-20,R&D,Delhi,Senior,42,78211.29,8,26,C,4.1,1.0,5.5,False
1178,2021-02-27,Engineering,Delhi,Mid,38,101646.52,1,15,B,,16.3,21.4,False
1179,2020-12-12,Operations,Chennai,Junior,43,94885.96,11,36,A,8.2,7.8,10.1,False
1180,2022-09-04,Engineering,Bangalore,Mid,36,95223.82,3,32,D,9.5,4.1,14.7,False
1181,2022-08-23,Marketing,Delhi,Mid,56,50649.09,3,32,C,4.6,125.6,14.3,False
1182,2022-09-30,R&D,Mumbai,Director,49,86487.43,17,4,D,8.0,36.6,17.9,False
1183,2021-12-10,Support,Pune,Manager,28,114564.85,14,18,A,3.4,52.2,7.3,False
1184,2024-04-13,Engineering,Pune,Mid,53,84496.7,18,19,D,9.9,15.2,23.8,False
1185,2020-04-15,Sales,Chennai,Senior,32,120714.84,12,35,C,1.2,,7.7,False
1186,2018-07-22,Finance,Kolkata,Senior,31,125474.15,18,14,C,6.4,10.8,6.8,False
1187,2018-05-03,Marketing,Kolkata,Junior,30,68288.29,16,33,C,6.9,4.1,6.6,False
1188,2019-02-05,Support,Hyderabad,Manager,35,57576.51,5,14,D,7.2,7.9,6.2,False
1189,2020-02-06,Engineering,Chennai,Lead,34,55963.45,15,34,C,2.1,63.9,6.2,True
1190,2018-10-21,Operations,Ahmedabad,Mid,46,37096.6,23,4,C,,45.3,8.7,False
1191,2024-05-16,Sales,Hyderabad,Mid,23,62039.93,11,24,E,2.6,31.7,8.9,False
1192,2018-07-17,Sales,Ahmedabad,Junior,56,105191.64,18,29,D,6.6,25.8,8.8,False
1193,2023-04-15,Engineering,Kolkata,Mid,28,19899.06,4,19,B,3.0,102.3,7.1,False
1194,2024-01-01,Finance,Chennai,Junior,42,49063.66,16,6,C,3.8,3.0,14.3,False
1195,2019-09-01,Engineering,Ahmedabad,Lead,39,71821.71,22,33,B,5.9,13.2,9.5,False
1196,2021-02-21,Marketing,Chennai,Junior,24,53070.37,0,19,B,4.8,17.2,11.3,True
1197,2018-07-06,Engineering,Chennai,Mid,32,61817.85,24,1,C,2.4,61.0,3.7,False
1198,2022-11-30,Sales,Kolkata,Manager,45,62191.76,23,5,E,2.5,195.8,2.7,True
1199,2019-10-22,Support,Hyderabad,Senior,40,68561.49,22,27,E,4.8,11.0,13.3,False
1200,2023-05-10,Engineering,Hyderabad,Junior,25,56763.63,9,16,B,7.8,83.0,14.7,False
1201,2024-09-16,Finance,Chennai,Junior,47,54719.67,14,6,C,9.1,71.0,3.5,False
1202,2021-10-01,R&D,Delhi,Junior,53,98357.74,22,13,B,1.8,10.2,3.1,False
1203,2023-06-10,Support,Bangalore,Senior,57,101241.35,20,35,E,4.5,20.4,18.9,False
1204,2022-03-15,Operations,Kolkata,Junior,54,40486.42,20,19,E,1.9,21.1,5.5,True
1205,2018-05-27,HR,Bangalore,Mid,57,6010.07,10,12,C,1.1,153.1,4.7,True
1206,2022-10-01,Engineering,Bangalore,Director,24,101584.37,12,16,D,7.0,8.0,3.1,False
1207,2023-01-18,Finance,Hyderabad,Junior,30,44279.99,4,10,C,6.4,64.2,3.1,True
1208,2019-05-04,Support,Hyderabad,Manager,29,80318.62,0,25,C,2.5,16.3,30.8,True
1209,2023-05-14,Finance,Delhi,Director,54,35858.2,23,20,A,3.1,52.5,7.4,False
1210,2022-07-22,Operations,Bangalore,Junior,27,107443.87,11,31,C,1.2,21.8,6.4,False
1211,2024-07-13,Sales,Bangalore,Manager,25,138591.7,10,4,C,8.5,34.5,2.9,False
1212,2019-10-03,Finance,Chennai,Mid,34,79570.17,16,23,C,9.8,71.5,1.5,False
1213,2022-12-08,Support,Hyderabad,Manager,23,72647.43,3,2,B,2.2,65.2,24.6,False
1214,2023-05-24,Finance,Bangalore,Senior,26,66946.51,14,22,E,3.1,80.5,16.6,False
1215,2024-01-08,Finance,Pune,Senior,48,94544.98,24,37,B,8.8,2.5,9.2,False
1216,2021-12-09,Finance,Delhi,Mid,53,,8,8,C,9.3,47.1,6.6,False
1217,2022-06-23,Marketing,Ahmedabad,Lead,42,100087.46,20,7,C,4.8,6.0,9.0,False
1218,2018-09-20,Marketing,Pune,Senior,29,59302.09,19,14,C,1.5,21.5,8.8,False
1219,2022-11-23,Sales,Pune,Mid,29,83502.94,18,3,C,1.4,31.8,20.3,False
1220,2024-01-01,Engineering,,Lead,24,61438.3,18,16,B,6.2,20.6,10.9,True
1221,2024-07-21,Finance,Kolkata,Junior,24,48557.11,11,19,B,4.5,29.3,5.4,True
1222,2019-09-16,Operations,Kolkata,Junior,43,73974.61,4,18,C,1.3,226.5,4.3,True
1223,2020-10-13,Engineering,Delhi,Junior,27,51937.18,9,16,C,6.2,5.8,8.1,False
1224,2020-05-30,Operations,Pune,Mid,23,104343.17,16,8,B,1.1,45.0,6.8,False
1225,2023-08-12,Engineering,Bangalore,Junior,44,53451.99,4,33,C,8.1,20.2,10.6,False
1226,2021-08-20,Sales,Hyderabad,Manager,23,84088.65,21,12,C,3.8,5.7,1.2,False
1227,2024-04-20,Finance,Delhi,Junior,38,59914.44,15,11,C,1.4,6.9,9.1,False
1228,2019-03-29,Finance,Chennai,Senior,56,81926.57,6,5,D,6.3,119.3,3.6,True
1229,2021-03-29,HR,Ahmedabad,Junior,55,61900.09,8,27,B,4.6,84.7,5.0,False
1230,2023-08-19,Operations,Pune,Manager,44,43569.72,2,12,A,9.8,95.0,7.4,False
1231,2022-08-10,Engineering,Delhi,Director,51,87094.32,14,17,D,5.9,190.9,22.4,False
1232,2024-03-05,Engineering,Mumbai,Mid,29,69114.61,15,6,C,3.5,9.3,11.7,False
1233,2021-02-28,R&D,Mumbai,Manager,43,82149.62,17,33,C,,17.6,7.3,True
1234,2019-02-08,R&D,Kolkata,Junior,57,64278.93,13,5,D,3.4,44.3,2.4,True
1235,2024-01-09,Marketing,Ahmedabad,Lead,26,41801.59,2,28,D,9.1,26.5,7.9,True
1236,2023-10-03,HR,Hyderabad,Junior,34,102079.46,11,14,E,4.4,21.7,3.5,False
1237,2022-08-24,Support,Bangalore,Manager,50,93418.94,8,5,C,5.9,17.7,16.4,False
1238,2019-09-20,R&D,Hyderabad,Junior,52,60825.98,6,33,C,1.5,36.0,7.7,False
1239,2019-08-10,Support,Hyderabad,Senior,37,76744.48,8,19,B,4.8,34.3,3.0,False
1240,2022-07-07,Marketing,Hyderabad,Lead,51,101050.49,12,22,B,8.5,7.0,7.3,False
1241,2021-12-14,Marketing,Ahmedabad,Junior,37,63574.04,17,5,C,8.3,25.5,16.0,False
1242,2021-12-16,Marketing,Hyderabad,Junior,33,67452.89,4,2,B,3.0,32.3,15.5,True
1243,2018-04-14,Operations,Chennai,Junior,38,81090.81,12,30,E,3.0,33.8,6.8,False
1244,2018-09-11,Operations,Ahmedabad,Mid,37,63522.72,3,39,C,8.4,9.4,13.5,False
1245,2022-02-05,Sales,Chennai,Senior,33,,1,4,C,9.4,54.2,9.6,True
1246,2018-04-09,Sales,Ahmedabad,Junior,29,70777.48,15,33,B,,1.0,6.2,False
1247,2024-01-10,Marketing,Kolkata,Mid,41,55399.1,8,13,A,5.1,17.5,1.6,False
1248,2023-02-28,HR,Delhi,Junior,24,90215.97,8,20,A,4.0,60.6,12.9,False
1249,2023-04-04,Engineering,Mumbai,Lead,37,46446.73,5,7,B,8.8,33.2,4.2,False
1250,2020-05-27,Operations,Hyderabad,Junior,51,125371.96,10,15,A,1.8,12.1,9.3,False
1251,2018-12-04,HR,Kolkata,Junior,44,114562.41,21,23,C,2.9,47.5,1.5,False
1252,2020-08-14,Finance,Delhi,Junior,49,87837.39,23,14,D,7.8,33.5,8.8,True
1253,2022-09-01,Operations,Mumbai,Mid,26,85733.28,21,23,D,1.5,63.6,7.3,True
1254,2018-06-10,Operations,Pune,Lead,41,84561.04,0,19,C,5.4,53.1,11.4,True
1255,2022-05-23,Sales,Bangalore,Mid,22,,3,29,B,5.0,37.7,6.4,True
1256,2019-02-02,Engineering,Chennai,Junior,51,82432.74,12,20,D,4.0,26.8,8.5,False
1257,2021-07-24,Engineering,Pune,Lead,42,51921.68,22,29,D,4.6,5.7,15.6,False
1258,2020-03-26,R&D,Ahmedabad,Lead,41,87595.46,12,24,,5.8,12.1,28.9,True
1259,2022-03-08,Support,Mumbai,Junior,27,96696.17,12,18,C,2.5,21.7,33.4,False
1260,2023-04-04,Support,Pune,Lead,43,65547.85,1,10,B,6.1,36.6,37.3,True
1261,2021-11-16,Support,Bangalore,Manager,39,60122.46,8,8,D,8.2,28.8,8.1,False
1262,2021-03-04,Support,Kolkata,Junior,29,44688.07,23,26,E,7.8,13.6,9.3,False
1263,2021-05-03,Finance,Mumbai,Lead,53,,7,29,A,2.4,0.3,28.1,False
1264,2019-02-05,Finance,Pune,Senior,54,62108.4,6,10,D,2.3,27.4,19.7,False
1265,2019-10-02,Operations,Chennai,Mid,37,70031.52,3,17,C,3.4,13.5,5.0,False
1266,2019-04-05,Marketing,Chennai,Junior,33,82503.89,17,2,E,4.2,53.1,4.0,False
1267,2020-08-12,Sales,Delhi,Junior,55,82055.19,2,6,C,4.7,1.0,1.1,False
1268,2019-04-15,Sales,Pune,Lead,35,93664.0,5,5,D,7.1,35.2,10.8,True
1269,2020-11-11,Support,Hyderabad,Director,57,65516.75,11,28,A,1.5,,20.6,True
1270,2022-08-21,Operations,Pune,Senior,54,46533.3,11,5,B,1.3,7.7,4.3,True
1271,2023-09-17,R&D,Kolkata,Mid,44,42158.37,20,18,A,4.5,25.5,4.5,False
1272,2024-03-27,HR,Mumbai,Senior,23,60518.62,7,26,E,7.3,,12.8,True
1273,2019-07-17,Marketing,Mumbai,Senior,42,51203.74,21,20,D,2.7,39.3,17.2,False
1274,2024-10-21,Operations,Kolkata,Mid,23,,21,27,D,6.8,32.0,9.7,False
1275,2022-12-05,Marketing,Pune,Junior,48,107689.47,0,12,,3.3,20.9,4.3,False
